Track Name,Method Name,Estimate Label,Window Size (s),Window Raster (s),Measurement Index,SDR (dB)
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,10,11.822677177708158
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,11,9.37310853487816
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,12,6.747749239831044
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,13,5.524143215171405
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,14,5.586038683139463
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,15,5.945899979939158
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,16,6.28060490735337
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,17,4.78951569783974
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,18,1.32292506350278
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,19,1.8120102030795273
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,20,2.4468042287127827
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,21,2.482223208904006
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,22,2.867377147594628
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,23,2.614542287738968
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,24,1.5107253183773173
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,25,2.368802864143544
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,26,4.434447018074506
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,27,5.034571141640875
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,28,5.219369473026995
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,29,6.575577735498821
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,30,6.423976372425831
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,31,5.744969430082313
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,32,6.09547595637811
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,33,5.428656181735132
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,34,3.7323502654735563
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,35,2.8242604571714347
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,36,2.362736296249836
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,37,0.28288044926677525
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,38,-1.9101089516851029
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,39,-0.7186692520790027
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,40,-0.04801905109736061
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,41,-1.7879242141511282
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,42,-0.3390774825129542
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,43,3.817047847077059
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,44,2.8935628906068884
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,45,3.3981608404154198
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,46,3.87904135375691
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,47,3.062680154325374
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,48,4.434762611755024
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,49,6.098566705746293
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,50,6.26067049837808
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,51,6.0981512152553226
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,52,5.957854459233953
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,53,5.1625771971275745
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,54,4.648812114390655
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,55,4.375468142863802
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,56,4.360148588391054
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,57,1.9570294156552244
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,58,2.1450409806679667
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,59,2.896409279413536
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,60,2.9619033850636676
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,61,-0.7017424665875384
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,62,0.5230337670080735
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,63,4.611603549436768
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,64,4.2063804574991375
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,65,4.645443978349574
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,66,4.764754507951494
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,67,-2.0923370911969146
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,68,7.879920416336422
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,69,9.26759679484061
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,70,9.575918583669276
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,71,9.872778471525582
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,72,7.2162969015083664
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,73,5.381172916887113
Sambasevam Shanmugam - Kaathaadi,2DFT,Accomp,1.0,0.25,74,4.214816998040528
